gamma_true,n_budget,strategy,n_reps,n_cal,p_infinite,coverage_mean,coverage_sd,width_mean,width_sd,width_q25,width_q75,cov_at_d3_mean,gamma_hat_mean,gamma_hat_median,share_gamma_zero,width_vs_oracle
1.0,50,marginal,2000,50,0.0,0.9603059503392489,0.026938697129932243,6.466089162686763,1.3386027533559053,5.53341964168249,7.201876562706291,0.6829180210283227,,,,1.112005983509493
1.0,50,oracle_shape,2000,50,0.0,0.9608805873408615,0.025681649563968994,5.8147970951377195,0.809708043789688,5.238841575980615,6.312975875669475,0.9608805873408612,,,,1.0
1.0,50,tuned_split,2000,30,0.0,0.9678011460678678,0.032165388222493464,7.476731854456944,10.814778098417294,5.706684757114835,7.950535028620613,0.8980148258112469,57.42975,0.3333333333333333,0.2405,1.2858113072782744
1.0,100,fixed_g1,2000,100,0.0,0.9506780964400809,0.021208349304303913,5.521648927570108,0.5262599062514015,5.165673290679031,5.857405547537884,0.9701296003707078,,,,1.019197398812638
1.0,100,marginal,2000,100,0.0,0.9506244439106551,0.021786236638803625,5.8315349449552,0.7664287601598652,5.297352454245177,6.280361080612825,0.6399853138180239,,,,1.076396801923962
1.0,100,oracle_shape,2000,100,0.0,0.9507257853019325,0.0211909096344903,5.417644250272629,0.5073889557278388,5.073858064796397,5.771026301234356,0.9507257853019324,,,,1.0
1.0,100,tuned_split,2000,60,0.0,0.9508946230831462,0.02798538623135371,5.763509737222704,0.9607765075019177,5.098677030760181,6.276998582844619,0.8752839604292771,0.868375,0.3333333333333333,0.161,1.0638405681459557
1.0,200,fixed_g1,2000,200,0.0,0.9503771514334699,0.015312756500422138,5.467714313389231,0.3736869270118875,5.202221176307627,5.7132306890197855,0.9702091572078233,,,,1.0191885653986528
1.0,200,marginal,2000,200,0.0,0.9502840796425237,0.015102853433051207,5.727835684786067,0.5109769194205094,5.371620979940491,6.050359654121442,0.6333177488568843,,,,1.0676755038427972
1.0,200,oracle_shape,2000,200,0.0,0.9503890371316615,0.015049143731944705,5.364772034359069,0.3602425357758122,5.11050342040823,5.598393876422797,0.9503890371316613,,,,1.0
1.0,200,tuned_split,2000,120,0.0,0.9513723851359284,0.019512497845387007,5.529609037949002,0.5746344738566314,5.130244856908588,5.85913851109869,0.8796397734470611,0.56325,0.3333333333333333,0.092,1.0307258169656088
1.0,400,fixed_g1,2000,400,0.0,0.9500508900633235,0.010760838266895485,5.434641901663336,0.25831389495379403,5.256002577094926,5.609278870034802,0.970141540666051,,,,1.0189514116160736
1.0,400,marginal,2000,400,0.0,0.9504152523878832,0.010673606270078094,5.6918612646983675,0.3565048252994791,5.435692471864346,5.917370113661943,0.6310996075445635,,,,1.0671779622889552
1.0,400,oracle_shape,2000,400,0.0,0.9500658603342708,0.010667850469678842,5.333563347288469,0.24975213574951066,5.160571015901828,5.499465337892035,0.9500658603342707,,,,1.0
1.0,400,tuned_split,2000,240,0.0,0.9503704201718248,0.01392237570648766,5.40482022948074,0.38164428633197117,5.135628706205712,5.640577870751003,0.8882676094546001,0.5055,0.3333333333333333,0.048,1.0133600892222452
1.0,800,fixed_g1,2000,800,0.0,0.9501191451879942,0.007666218666350909,5.424851542421195,0.1851053981899999,5.295673261016765,5.548118958232726,0.9702698903368028,,,,1.0189563383403537
1.0,800,marginal,2000,800,0.0,0.9503156659054821,0.00787204372175538,5.6700104725700005,0.2589284014454565,5.490313267148693,5.844170162834578,0.6296174323757668,,,,1.0650048327226298
1.0,800,oracle_shape,2000,800,0.0,0.9500892473426207,0.00784800374181881,5.323929336616165,0.18439567083305872,5.196285212784245,5.443449666183858,0.9500892473426206,,,,1.0
1.0,800,tuned_split,2000,480,0.0,0.9501796931710794,0.009952702696032633,5.34110164614794,0.25767274211374513,5.161685653618276,5.506570942583252,0.890986965491575,0.4389166666666666,0.3333333333333333,0.018,1.0032254953899689
1.0,1600,fixed_g1,2000,1600,0.0,0.9500845176324862,0.005553483356673289,5.418210948521518,0.1327544411492424,5.334231443637507,5.507047863269744,0.9702847712898156,,,,1.0190835131864286
1.0,1600,marginal,2000,1600,0.0,0.9500969831885115,0.005435706197032359,5.651530914754936,0.17646388100710342,5.532736637175089,5.766622941905892,0.6282702811020756,,,,1.062967469190499
1.0,1600,oracle_shape,2000,1600,0.0,0.9500501554561328,0.005515413172789532,5.316748704510073,0.12807202674952928,5.230216504266511,5.403835729193368,0.9500501554561328,,,,1.0
1.0,1600,tuned_split,2000,960,0.0,0.9501365931185461,0.0070071926312321115,5.308571490331846,0.17727292510053125,5.189729165948679,5.422139264124086,0.8938842805460884,0.41045833333333337,0.3333333333333333,0.0045,0.9984619897172702
1.0,3200,fixed_g1,2000,3200,0.0,0.9499732118291229,0.0038805156198964377,5.412365562054875,0.09275816895192004,5.348993715310588,5.472025369756662,0.9702269118251035,,,,1.0189153290010782
1.0,3200,marginal,2000,3200,0.0,0.9499461210977223,0.003934425842698527,5.6418583715365225,0.1274565799682854,5.554720566706739,5.725659052164062,0.6275401303629703,,,,1.062118940951413
1.0,3200,oracle_shape,2000,3200,0.0,0.9499692456969095,0.0038884368943815028,5.311889425945763,0.09022046486192263,5.249873817970517,5.373685055751745,0.9499692456969094,,,,1.0
1.0,3200,tuned_split,2000,1920,0.0,0.949869105272437,0.00511125138567719,5.2828619842883064,0.12500643422818528,5.201153952239702,5.36355724527915,0.8980034786115785,0.4023333333333333,0.3333333333333333,0.0005,0.9945353829250148
4.0,25,fixed_g1,2000,25,0.0,0.9629515219467146,0.03553601308678922,8.995586750621795,2.0157263771414464,7.560984358128804,10.151368060997411,0.9193014791740854,,,,0.992058843468337
4.0,25,marginal,2000,25,0.0,0.9621126255608561,0.035238095343600895,12.250274717235202,4.437375137380714,9.104444547928743,14.466140702619537,0.6568041934401269,,,,1.350995071812266
4.0,25,oracle_shape,2000,25,0.0,0.9633832406284495,0.03565102578227073,9.067593933412583,1.8180394150895447,7.83278674626937,10.160922003882625,0.9633832406284494,,,,1.0
4.0,25,tuned_split,2000,15,1.0,1.0,0.0,inf,,inf,inf,1.0,0.0,0.0,1.0,inf
4.0,31,fixed_g1,2000,31,0.0,0.9688540051358437,0.03009287140445275,9.295936397211463,1.9992815140022926,7.91383787185344,10.445211620815945,0.9294046288666046,,,,0.998556882269403
4.0,31,marginal,2000,31,0.0,0.968488064591445,0.03127929060260985,13.038261672396322,4.537955478080721,9.751785056106867,15.431784600039249,0.6856064943605092,,,,1.4005523886443776
4.0,31,oracle_shape,2000,31,0.0,0.9683173530725854,0.03095628417408402,9.309370915440239,1.8180066070733643,8.007493939523297,10.425496893501977,0.9683173530725854,,,,1.0
4.0,31,tuned_split,2000,19,0.0,0.9490909051103262,0.0497676640779984,11.397644835615486,4.514031954475955,8.08250297525717,13.791284621841617,0.6201790219341761,0.0,0.0,1.0,1.224319552754279
4.0,50,fixed_g1,2000,50,0.0,0.9614747644756046,0.025865890459126305,8.486669586961131,1.316821084817005,7.561519036414745,9.247200206713499,0.913286389257869,,,,0.9885166363392197
4.0,50,marginal,2000,50,0.0,0.9607677667387128,0.026341313181024173,11.11191631725405,2.8055443666054036,9.10030720822457,12.638878926488312,0.6265260003071081,,,,1.29430208501237
4.0,50,oracle_shape,2000,50,0.0,0.9612144454751691,0.02621360515160595,8.585257217713474,1.1989461193156679,7.741774999777017,9.318115836452463,0.9612144454751689,,,,1.0
4.0,50,tuned_split,2000,30,0.0,0.9672049288401517,0.03358649127584247,12.71402760175819,21.360588090821814,8.476969237551845,12.227270259290927,0.9246270382406876,372.126125,2.0,0.0835,1.4809139993529905
4.0,100,fixed_g1,2000,100,0.0,0.950689783350115,0.021404996260113496,7.812944330890697,0.8083723448383077,7.266025874904049,8.335501002412112,0.8925066992411861,,,,0.9805036800921716
4.0,100,marginal,2000,100,0.0,0.9506749774029196,0.021703789955211477,9.744128971116778,1.5846994405156938,8.668983065445087,10.649459938267988,0.5729174922017873,,,,1.2228622028826803
4.0,100,oracle_shape,2000,100,0.0,0.9502178956688845,0.021997302515853686,7.96829679431315,0.7733619935531957,7.460422886925402,8.463744157153199,0.9502178956688845,,,,1.0
4.0,100,tuned_split,2000,60,0.0,0.9508835107762527,0.0272825028287472,8.484006184789406,1.5637649190160505,7.505517431612889,9.17918105910707,0.8925595807248237,27.246708333333334,1.3333333333333333,0.046,1.0647201533512545
4.0,200,fixed_g1,2000,200,0.0,0.950112984085999,0.0156973975113441,7.7179394769774134,0.5763069895311861,7.325005896290158,8.09206143004949,0.8905451113541862,,,,0.9758815247313106
4.0,200,marginal,2000,200,0.0,0.9499868380491368,0.015121335005015888,9.508891332950435,1.0732224200325726,8.769675120104152,10.172248412607367,0.5637753353852647,,,,1.2023353383613444
4.0,200,oracle_shape,2000,200,0.0,0.9506885644454686,0.01509730342970255,7.9086848981000974,0.5232368621881924,7.561625171970807,8.246635154027643,0.9506885644454685,,,,1.0
4.0,200,tuned_split,2000,120,0.0,0.9502838417378459,0.01979241037528713,8.057221645927344,0.9695959880520626,7.442934561854061,8.554070353607697,0.8946882427701478,9.985833333333334,1.3333333333333333,0.0145,1.018781472487661
4.0,400,fixed_g1,2000,400,0.0,0.9502546813654044,0.010769468666238857,7.681477552057268,0.39668029210826555,7.401163272867422,7.942200349332679,0.8901887795577355,,,,0.9770073743816484
4.0,400,marginal,2000,400,0.0,0.9497858295544868,0.010908814500458304,9.411247726702856,0.7525060542287054,8.88733694182555,9.891311757617302,0.5599567353945029,,,,1.197016897961074
4.0,400,oracle_shape,2000,400,0.0,0.9503023817071808,0.010785337905068044,7.862251353956159,0.3702260089197529,7.603605695913661,8.109816433969302,0.9503023817071807,,,,1.0
4.0,400,tuned_split,2000,240,0.0,0.9503330175610495,0.01381367419450054,7.858852467974912,0.5677386750332261,7.466022417150988,8.208834207408263,0.8992764667226523,1.616625,1.3333333333333333,0.001,0.9995676955838435
4.0,800,fixed_g1,2000,800,0.0,0.9498301211275028,0.00778993616955312,7.6474572310333695,0.2815068215137048,7.448536966829071,7.835828620573369,0.8892056667405295,,,,0.9765126031327614
4.0,800,marginal,2000,800,0.0,0.949940907039557,0.00780242504114809,9.379774212327893,0.5354663942516408,9.012036153171909,9.714425588134505,0.5588578411406622,,,,1.1977141494441776
4.0,800,oracle_shape,2000,800,0.0,0.9498695100734881,0.007834741925655853,7.8313963450133395,0.2675826506146296,7.651853411760126,8.003952738142393,0.9498695100734879,,,,1.0
4.0,800,tuned_split,2000,480,0.0,0.9499679968542825,0.010016030529689423,7.743534754580434,0.39004769795806654,7.48787126767748,7.984842742372802,0.900752200272454,1.4431666666666665,1.3333333333333333,0.0,0.9887808525373829
4.0,1600,fixed_g1,2000,1600,0.0,0.9501287507767023,0.005404459128421592,7.648355326161809,0.1961402166094704,7.511703380631146,7.781033982581807,0.8895629747702127,,,,0.9771663368257419
4.0,1600,marginal,2000,1600,0.0,0.9501162870479658,0.005599510820438586,9.37031558583786,0.3815460911622657,9.113677695442165,9.619329654117749,0.5586150924626382,,,,1.1971667849418932
4.0,1600,oracle_shape,2000,1600,0.0,0.9500033839222151,0.005478277872666746,7.827076146530967,0.18771056935180075,7.700199402147126,7.948885822307007,0.9500033839222151,,,,1.0
4.0,1600,tuned_split,2000,960,0.0,0.9501896697925113,0.007171188023408243,7.700689670728767,0.26922862608359777,7.516300452097523,7.873873093161487,0.9035692687114797,1.3923333333333332,1.3333333333333333,0.0,0.9838526579483687
4.0,3200,fixed_g1,2000,3200,0.0,0.9500335591748436,0.0038750761278513656,7.6403548099137755,0.14058862852137496,7.546346051588611,7.730578502134838,0.8893350225371971,,,,0.9768839171034411
4.0,3200,marginal,2000,3200,0.0,0.950200343108874,0.003749218197775571,9.36368660240624,0.25622703204041286,9.196085997268554,9.53614552194005,0.5584151258421167,,,,1.1972264474967296
4.0,3200,oracle_shape,2000,3200,0.0,0.9499576684919171,0.003850400857626295,7.821149141822494,0.13186558155506173,7.728916549922088,7.908222260351698,0.9499576684919171,,,,1.0
4.0,3200,tuned_split,2000,1920,0.0,0.9499503564189089,0.004935714165364935,7.661894685575591,0.18171781053099686,7.542401626376176,7.7760066762974525,0.9039264566461104,1.3407083333333334,1.3333333333333333,0.0,0.9796379722008736
16.0,25,fixed_g1,2000,25,0.0,0.9618634299509862,0.0378445054423827,16.371525766588153,4.0496748111421015,13.40938039391471,18.807603180081575,0.8898382844546707,,,,1.055862706165025
16.0,25,marginal,2000,25,0.0,0.9615453467794419,0.0382070018900175,23.70377535184142,8.989898707120103,17.27961090308957,28.474986338949215,0.6440984081931551,,,,1.5287477017201037
16.0,25,oracle_shape,2000,25,0.0,0.9617532177108491,0.035435997342200445,15.505354693368043,3.0653271253914,13.335987678794977,17.37318436368576,0.961753217710849,,,,1.0
16.0,25,tuned_split,2000,15,1.0,1.0,0.0,inf,,inf,inf,1.0,0.0,0.0,1.0,inf
