family,seed,analysis,method,stratum,n_cal,n_eval,picp,mpiw,crps_uniform
semf_testsplit,3,regime,raw,no_text,0,555,0.16756756756756758,0.2836108060864845,0.5098872030619545
semf_testsplit,3,regime,global_cqr,no_text,554,555,0.9459459459459459,3.042638226610215,0.4257983096319769
semf_testsplit,3,regime,mask_matched_cqr,no_text,554,555,0.9477477477477477,3.1330671294460988,0.42896240105791467
semf_testsplit,3,regime,raw,tab_only,0,555,0.12252252252252252,0.2389132592905452,0.566630226922829
semf_testsplit,3,regime,global_cqr,tab_only,554,555,0.9369369369369369,2.997940679814276,0.4524045940371402
semf_testsplit,3,regime,mask_matched_cqr,tab_only,554,555,0.9567567567567568,3.3177322445470137,0.4620408115725873
semf_testsplit,3,uncert,global_cqr,0,554,160,0.9625,2.8909906967325747,0.370991725870055
semf_testsplit,3,uncert,mondrian_cqr,0,185,160,0.9625,2.8097948430405637,0.36779585986454455
semf_testsplit,3,uncert,global_cqr,1,554,214,0.9485981308411215,2.9957802398601703,0.41316623845060324
semf_testsplit,3,uncert,mondrian_cqr,1,184,214,0.9532710280373832,3.0707418441349734,0.41606918791224257
semf_testsplit,3,uncert,global_cqr,2,554,181,0.9447513812154696,3.2626522735506884,0.45835351963424137
semf_testsplit,3,uncert,mondrian_cqr,2,185,181,0.9668508287292817,3.7366246903552063,0.47593234908752413
semf_testsplit,3,region,global_cqr,0,554,185,0.9513513513513514,3.0360608683227235,0.43182106764054023
semf_testsplit,3,region,mondrian_cqr,0,160,185,0.9621621621621622,3.5113687820744013,0.4504603448531757
semf_testsplit,3,region,global_cqr,1,554,154,0.922077922077922,3.037785084665,0.4641496616876262
semf_testsplit,3,region,mondrian_cqr,1,162,154,0.9805194805194806,3.9501728464214594,0.49444449270555135
semf_testsplit,3,region,global_cqr,2,554,196,0.9744897959183674,3.079738155888989,0.36688840616041785
semf_testsplit,3,region,mondrian_cqr,2,209,196,0.9540816326530612,2.5782223212402795,0.3452126638112947
semf_testsplit,3,region,global_cqr,3,554,20,0.95,3.0538351043803647,0.3731082600299653
semf_testsplit,3,region,mondrian_cqr,3,23,20,1.0,4.1901895018185344,0.43957048827415035
aug_theta_testsplit,3,regime,raw,full,0,555,0.12972972972972974,0.11023020434637999,0.3118302453880867
aug_theta_testsplit,3,regime,cqr,full,554,555,0.9513513513513514,1.8106000358993943,0.25283906306393505
aug_theta_testsplit,3,uncert,global_cqr,0,554,164,0.9390243902439024,1.756846366859064,0.2514485364201103
aug_theta_testsplit,3,uncert,mondrian_cqr,0,185,164,0.9329268292682927,1.6659237762413375,0.24880486708623187
aug_theta_testsplit,3,uncert,global_cqr,1,554,170,0.9588235294117647,1.7909857569371952,0.24215587205985584
aug_theta_testsplit,3,uncert,mondrian_cqr,1,184,170,0.9588235294117647,1.8933544767253538,0.24609199577776517
aug_theta_testsplit,3,uncert,global_cqr,2,554,221,0.9547511312217195,1.865577543348209,0.2620887863231239
