dataset,seed,base,calibration,bin,n,picp,mpiw,crps,disagreement_mean
imdb_wiki,0,sourcewise_stack,weighted_dis,mid,1296,0.9606481481481481,36.44355392456055,4.873442386819629,1.26711905002594
imdb_wiki,0,sourcewise_stack,weighted_dis,high,1311,0.9511823035850496,36.44355392456055,5.045856348213761,2.369102954864502
imdb_wiki,0,sourcewise_stack,difficulty_weighted,low,1315,0.9498098859315589,36.44588851928711,5.341294810302754,0.6019369959831238
imdb_wiki,0,sourcewise_stack,difficulty_weighted,mid,1296,0.9506172839506173,32.806129455566406,4.653273187375238,1.26711905002594
imdb_wiki,0,sourcewise_stack,difficulty_weighted,high,1311,0.9466056445461479,34.65625762939453,4.891331890969892,2.369102954864502
imdb_wiki,0,sourcewise_stack,binned_weighted_dis,low,1315,0.9444866920152091,36.44355392456055,5.381583560334831,0.6019369959831238
imdb_wiki,0,sourcewise_stack,binned_weighted_dis,mid,1296,0.9606481481481481,36.44355392456055,4.873442386819629,1.26711905002594
imdb_wiki,0,sourcewise_stack,binned_weighted_dis,high,1311,0.9511823035850496,36.44355392456055,5.045856348213761,2.369102954864502
imdb_wiki,0,sourcewise_quantile,marginal,low,1315,0.9779467680608365,47.44536590576172,6.989597014709345,0.6019369959831238
imdb_wiki,0,sourcewise_quantile,marginal,mid,1296,0.9729938271604939,45.92058181762695,7.765724101270054,1.26711905002594
imdb_wiki,0,sourcewise_quantile,marginal,high,1311,0.9221967963386728,49.25557327270508,9.554751889874671,2.369102954864502
imdb_wiki,0,sourcewise_quantile,mondrian_dis,low,1315,0.9619771863117871,44.233009338378906,6.938892982982361,0.6019369959831238
imdb_wiki,0,sourcewise_quantile,mondrian_dis,mid,1296,0.9521604938271605,43.84740447998047,7.777244424168856,1.26711905002594
imdb_wiki,0,sourcewise_quantile,mondrian_dis,high,1311,0.9595728451563692,55.4682502746582,9.493332855940432,2.369102954864502
imdb_wiki,0,sourcewise_quantile,weighted_dis,low,1315,0.9711026615969581,45.504432678222656,6.95426808311586,0.6019369959831238
imdb_wiki,0,sourcewise_quantile,weighted_dis,mid,1296,0.9660493827160493,45.26713180541992,7.766399618035166,1.26711905002594
imdb_wiki,0,sourcewise_quantile,weighted_dis,high,1311,0.9382151029748284,50.814125061035156,9.507317663964077,2.369102954864502
imdb_wiki,0,sourcewise_quantile,difficulty_weighted,low,1315,0.9718631178707224,47.24045944213867,6.994101159955973,0.6019369959831238
imdb_wiki,0,sourcewise_quantile,difficulty_weighted,mid,1296,0.966820987654321,46.107269287109375,7.822505773084909,1.26711905002594
imdb_wiki,0,sourcewise_quantile,difficulty_weighted,high,1311,0.9298245614035088,136.58941650390625,16.585066689980668,2.369102954864502
imdb_wiki,0,sourcewise_quantile,binned_weighted_dis,low,1315,0.9680608365019011,45.19017791748047,6.951081608517778,0.6019369959831238
imdb_wiki,0,sourcewise_quantile,binned_weighted_dis,mid,1296,0.9645061728395061,45.117496490478516,7.768318326919801,1.26711905002594
imdb_wiki,0,sourcewise_quantile,binned_weighted_dis,high,1311,0.9435545385202135,52.00939178466797,9.51260090722173,2.369102954864502
imdb_wiki,1,xgb_point,marginal,low,1299,0.9430331023864511,36.10734939575195,5.405517571978101,0.6112774014472961
imdb_wiki,1,xgb_point,marginal,mid,1356,0.9601769911504425,36.10734558105469,4.904853560069606,1.2937287092208862
imdb_wiki,1,xgb_point,marginal,high,1267,0.9479084451460142,36.10734558105469,4.9470720597894156,2.4369397163391113
imdb_wiki,1,xgb_point,mondrian_dis,low,1299,0.9584295612009238,38.796382904052734,5.478985684500729,0.6112774014472961
imdb_wiki,1,xgb_point,mondrian_dis,mid,1356,0.948377581120944,33.697509765625,4.820742216151754,1.2937287092208862
imdb_wiki,1,xgb_point,mondrian_dis,high,1267,0.9479084451460142,36.16423416137695,4.949165825614992,2.4369397163391113
imdb_wiki,1,xgb_point,weighted_dis,low,1299,0.9430331023864511,36.10734939575195,5.405517571978101,0.6112774014472961
imdb_wiki,1,xgb_point,weighted_dis,mid,1356,0.9601769911504425,36.10734558105469,4.904853560069606,1.2937287092208862
imdb_wiki,1,xgb_point,weighted_dis,high,1267,0.9479084451460142,36.10734558105469,4.9470720597894156,2.4369397163391113
imdb_wiki,1,xgb_point,difficulty_weighted,low,1299,0.9545804464973057,36.9689826965332,5.382673819960217,0.6112774014472961
imdb_wiki,1,xgb_point,difficulty_weighted,mid,1356,0.9550147492625368,33.29425048828125,4.713743449034646,1.2937287092208862
imdb_wiki,1,xgb_point,difficulty_weighted,high,1267,0.9652722967640095,36.428558349609375,4.84320856715037,2.4369397163391113
imdb_wiki,1,xgb_point,binned_weighted_dis,low,1299,0.9430331023864511,36.10734939575195,5.405517571978101,0.6112774014472961
imdb_wiki,1,xgb_point,binned_weighted_dis,mid,1356,0.9601769911504425,36.10734558105469,4.904853560069606,1.2937287092208862
imdb_wiki,1,xgb_point,binned_weighted_dis,high,1267,0.9479084451460142,36.10734558105469,4.9470720597894156,2.4369397163391113
imdb_wiki,1,xgb_quantile,marginal,low,1299,0.9576597382602001,39.10171127319336,6.009714151890762,0.6112774014472961
imdb_wiki,1,xgb_quantile,marginal,mid,1356,0.9638643067846607,35.983219146728516,5.6894899791375915,1.2937287092208862
imdb_wiki,1,xgb_quantile,marginal,high,1267,0.9297553275453828,41.20429611206055,7.2318442922691695,2.4369397163391113
imdb_wiki,1,xgb_quantile,mondrian_dis,low,1299,0.9553502694380293,38.89868927001953,6.006214751310806,0.6112774014472961
imdb_wiki,1,xgb_quantile,mondrian_dis,mid,1356,0.948377581120944,34.29622268676758,5.670644049805364,1.2937287092208862
imdb_wiki,1,xgb_quantile,mondrian_dis,high,1267,0.9502762430939227,44.857276916503906,7.265431154093264,2.4369397163391113
imdb_wiki,1,xgb_quantile,weighted_dis,low,1299,0.9491916859122402,37.705230712890625,5.98836771416876,0.6112774014472961
imdb_wiki,1,xgb_quantile,weighted_dis,mid,1356,0.9631268436578171,35.71533966064453,5.686113992011499,1.2937287092208862
