dataset,base,calibration,bin,n_mean,picp_mean,picp_std,mpiw_mean,mpiw_std,crps_mean,disagreement_mean
pawpularity,sourcewise_quantile,mondrian_dis,mid,642.6,0.9464661942561113,0.019870586535078543,83.4288818359375,5.624670422401582,13.438965645720705,0.9282015442848206
pawpularity,sourcewise_quantile,weighted_dis,high,695.2,0.9528311968489005,0.006720119472578287,89.08672485351562,1.1246716561091665,14.865330402845682,2.118622350692749
pawpularity,sourcewise_quantile,weighted_dis,low,645.2,0.952868496878928,0.011937613828725642,84.48532409667969,5.4027073610533485,13.19654126650019,0.3074746012687683
pawpularity,sourcewise_quantile,weighted_dis,mid,642.6,0.9569811628059922,0.011471550376582335,85.6004852294922,4.510989335651724,13.458118143936144,0.9282015442848206
pawpularity,sourcewise_stack,binned_weighted_dis,high,695.2,0.9569253298846162,0.010296154444351245,88.09243469238281,5.6626541235946135,11.387234314600374,2.118622350692749
pawpularity,sourcewise_stack,binned_weighted_dis,low,645.2,0.9370038973454908,0.027131096090436374,70.59377517700196,8.640338042123707,10.130108847326674,0.3074746012687683
pawpularity,sourcewise_stack,binned_weighted_dis,mid,642.6,0.9551823956098773,0.008513558059380298,78.60081939697265,3.0593296792412676,9.91300289084261,0.9282015442848206
pawpularity,sourcewise_stack,difficulty_weighted,high,695.2,0.9572662757844199,0.00575920659960078,88.10937957763672,4.618002263817226,11.143866456819563,2.118622350692749
pawpularity,sourcewise_stack,difficulty_weighted,low,645.2,0.9470456588456413,0.010126329979232575,79.62575836181641,3.2454088704448534,10.596488404259555,0.3074746012687683
pawpularity,sourcewise_stack,difficulty_weighted,mid,642.6,0.952186324013045,0.006010059767074118,76.85816040039063,2.9329479371999394,9.843954558322574,0.9282015442848206
pawpularity,sourcewise_stack,marginal,high,695.2,0.9358338855115018,0.007060193175634741,79.0596939086914,2.420185533222821,11.030086019516348,2.118622350692749
pawpularity,sourcewise_stack,marginal,low,645.2,0.9593724087231419,0.006096605518488063,79.05970153808593,2.420185533222821,10.41198269443007,0.3074746012687683
pawpularity,sourcewise_stack,marginal,mid,642.6,0.955850390589078,0.008649537699112884,79.05970001220703,2.4201832545821524,9.933018913166245,0.9282015442848206
pawpularity,sourcewise_stack,mondrian_dis,high,695.2,0.9626527592587124,0.009474503842567508,91.41350555419922,3.282514089611133,11.521951295199562,2.118622350692749
pawpularity,sourcewise_stack,mondrian_dis,low,645.2,0.9476279749012312,0.009574399328197852,73.65391235351562,1.7533841567024733,10.205400755927826,0.3074746012687683
pawpularity,sourcewise_stack,mondrian_dis,mid,642.6,0.9414771014517754,0.017435020315279506,71.43509979248047,6.659907229816976,9.614130197624448,0.9282015442848206
pawpularity,sourcewise_stack,weighted_dis,high,695.2,0.9585328633834423,0.015927239039654133,91.0032974243164,10.261229254604023,11.380043867696564,2.118622350692749
pawpularity,sourcewise_stack,weighted_dis,low,645.2,0.9373621311998314,0.015828769251927846,70.40213394165039,4.785273062756031,10.100932668518045,0.3074746012687683
pawpularity,sourcewise_stack,weighted_dis,mid,642.6,0.9478755337302396,0.00920611116180943,74.17313690185547,4.07899580128643,9.722704735687385,0.9282015442848206
pawpularity,xgb_point,binned_weighted_dis,high,695.2,0.9657947757323472,0.01110419751829121,92.88325805664063,6.879423231932041,11.52984743539173,2.118622350692749
pawpularity,xgb_point,binned_weighted_dis,low,645.2,0.9264947495389999,0.03318176965918901,67.4424201965332,10.3532453648987,10.009833369016633,0.3074746012687683
pawpularity,xgb_point,binned_weighted_dis,mid,642.6,0.9594403975631334,0.007972269315281619,78.73407592773438,3.64892079224849,9.91050624385663,0.9282015442848206
pawpularity,xgb_point,difficulty_weighted,high,695.2,0.9586309872108345,0.009295024637748913,90.59168701171875,5.751686189457271,11.195412350060664,2.118622350692749
pawpularity,xgb_point,difficulty_weighted,low,645.2,0.9457867768983859,0.012823033799465536,81.68376159667969,4.409323982396379,10.645616907433956,0.3074746012687683
pawpularity,xgb_point,difficulty_weighted,mid,642.6,0.9539064774972132,0.0065389817075664014,78.38575134277343,4.259647915122967,9.913997203465144,0.9282015442848206
pawpularity,xgb_point,marginal,high,695.2,0.937381033817221,0.007875198452327828,79.59032440185547,2.4092063177030165,10.974927324764582,2.118622350692749
pawpularity,xgb_point,marginal,low,645.2,0.955964202801035,0.007207750542056223,79.59032592773437,2.40920144779272,10.401798814589636,0.3074746012687683
pawpularity,xgb_point,marginal,mid,642.6,0.9599399682969458,0.008956976937066735,79.59032745361328,2.409203966440595,9.949984875607408,0.9282015442848206
pawpularity,xgb_point,mondrian_dis,high,695.2,0.962263381680659,0.009803877599491745,90.84789581298828,4.552789432378825,11.431879827195392,2.118622350692749
pawpularity,xgb_point,mondrian_dis,low,645.2,0.9485588469136065,0.009583863385976854,74.91251983642579,2.835936845012817,10.222294333834181,0.3074746012687683
pawpularity,xgb_point,mondrian_dis,mid,642.6,0.943292883904352,0.012359994399971468,70.86717910766602,4.659737664999519,9.570928065790412,0.9282015442848206
pawpularity,xgb_point,weighted_dis,high,695.2,0.9561287725395895,0.009278279264567302,86.07844390869141,1.6875189743783388,11.07678444835478,2.118622350692749
pawpularity,xgb_point,weighted_dis,low,645.2,0.9401571350878563,0.013211366134603409,70.89954223632813,3.968005150045316,10.0763438849641,0.3074746012687683
