dataset,seed,base,calibration,r2,rmse,mae,picp,mpiw,niw,nciw,c_test_cal,crps,a0,a1,q_hat
pawpularity,1,sourcewise_quantile,difficulty_weighted,0.17309904098510742,18.459826590569758,13.061986923217773,0.9450327786182552,95.97871398925781,0.979374632543447,0.9918670585880043,1.0127555131912231,14.348912508155445,,,0.21344853937625885
pawpularity,1,sourcewise_quantile,binned_weighted_dis,0.17309904098510742,18.459826590569758,13.061986923217773,0.9515885022692889,85.30390167236328,0.8704479762486049,0.8681934116767545,0.9974098801612854,13.423789940499617,,,0.6358985900878906
pawpularity,2,xgb_point,marginal,0.24503093957901,17.638653600263204,12.712078094482422,0.9485627836611196,78.62085723876953,0.8022536452935667,0.8099959603604271,1.009650707244873,10.405825326985598,,,39.31043243408203
pawpularity,2,xgb_point,mondrian_dis,0.24503093957901,17.638653600263204,12.712078094482422,0.9495713565305093,77.97241973876953,0.7956369361098932,0.7962968837199678,1.0008294582366943,10.371069424381657,,,
pawpularity,2,xgb_point,weighted_dis,0.24503093957901,17.638653600263204,12.712078094482422,0.9450327786182552,75.91764068603516,0.7746698029187261,0.7919446663219732,1.0222996473312378,10.25291741990763,1.0,0.08333333333333333,35.2806510925293
pawpularity,2,xgb_point,difficulty_weighted,0.24503093957901,17.638653600263204,12.712078094482422,0.9541099344427635,82.19258880615234,0.8386998857770648,0.8183971810845574,0.975792646408081,10.459981976689816,,,40.41312789916992
pawpularity,2,xgb_point,binned_weighted_dis,0.24503093957901,17.638653600263204,12.712078094482422,0.9425113464447806,77.91219329833984,0.7950223805953045,0.8182823025939964,1.0292569398880005,10.420396081695413,,,31.317724227905273
pawpularity,2,xgb_quantile,marginal,0.2336198091506958,17.771455933493286,12.630990982055664,0.9520927887039838,82.02934265136719,0.8370341086874202,0.8330765953190871,0.9952719807624817,11.930499376112836,,,6.792313575744629
pawpularity,2,xgb_quantile,mondrian_dis,0.2336198091506958,17.771455933493286,12.630990982055664,0.9490670700958144,80.20587158203125,0.8184272610411352,0.8251189897499137,1.008176326751709,11.870069960799853,,,
pawpularity,2,xgb_quantile,weighted_dis,0.2336198091506958,17.771455933493286,12.630990982055664,0.9490670700958144,78.6464614868164,0.8025149131307796,0.8080094649706979,1.0068466663360596,11.809772839663385,1.0,25.0,0.8971228003501892
pawpularity,2,xgb_quantile,difficulty_weighted,0.2336198091506958,17.771455933493286,12.630990982055664,0.9420070600100857,910.602783203125,9.291865134725766,9.927585128061024,1.0684168338775635,80.92776060247927,,,0.801374614238739
pawpularity,2,xgb_quantile,binned_weighted_dis,0.2336198091506958,17.771455933493286,12.630990982055664,0.9480584972264247,79.3240966796875,0.8094295579559949,0.8181874180167773,1.0108197927474976,11.856096311522617,,,1.7178516387939453
pawpularity,2,sourcewise_stack,marginal,0.24281096458435059,17.664567834711082,12.81902027130127,0.9475542107917297,78.6340103149414,0.802387860356545,0.8093577409637447,1.0086864233016968,10.420551690461958,,,39.31700134277344
pawpularity,2,sourcewise_stack,mondrian_dis,0.24281096458435059,17.664567834711082,12.81902027130127,0.9480584972264247,78.11065673828125,0.7970475177375638,0.8123026312394507,1.0191395282745361,10.386646751220184,,,
pawpularity,2,sourcewise_stack,weighted_dis,0.24281096458435059,17.664567834711082,12.81902027130127,0.9445284921835603,77.06819915771484,0.7864101954868862,0.8057194413563593,1.024553656578064,10.307956230753136,1.0,0.08333333333333333,35.815338134765625
pawpularity,2,sourcewise_stack,difficulty_weighted,0.24281096458435059,17.664567834711082,12.81902027130127,0.9531013615733737,77.73422241210938,0.7932063511439732,0.7717367722047389,0.9729331731796265,10.292287124960508,,,37.422943115234375
pawpularity,2,sourcewise_stack,binned_weighted_dis,0.24281096458435059,17.664567834711082,12.81902027130127,0.9440242057488654,78.40125274658203,0.8000127831283881,0.8296834003523906,1.0370876789093018,10.45357346083434,,,31.514312744140625
pawpularity,2,sourcewise_quantile,marginal,0.16070806980133057,18.597620559590833,13.130247116088867,0.9475542107917297,84.23710632324219,0.8595623094208387,0.8623964666393272,1.003297209739685,12.773967445907065,,,3.8999176025390625
