dataset,base,calibration,r2_mean,rmse_mean,mae_mean,picp_mean,mpiw_mean,niw_mean,nciw_mean,c_test_cal_mean,crps_mean,n_seeds,r2_std,rmse_std,mae_std,picp_std,mpiw_std,niw_std,nciw_std,c_test_cal_std,crps_std,delta_mpiw_vs_marginal_mean,delta_mpiw_vs_marginal_std,delta_nciw_vs_marginal_mean,delta_nciw_vs_marginal_std,delta_crps_vs_marginal_mean,delta_crps_vs_marginal_std,delta_picp_vs_marginal_mean,delta_picp_vs_marginal_std
imdb_wiki,xgb_point,marginal,0.7130278587341309,8.769279807676517,6.639156723022461,0.9503824579296276,35.887777709960936,0.39875308566623263,0.3968440775232628,0.9952755331993103,5.057300017329317,5,0.0016264271601954955,0.024826101464330032,0.020987734872180783,0.001162851019988921,0.3280984748232481,0.0036455386091472177,0.0022134092072762573,0.010222364653798742,0.021320323735971654,,,,,,,,
imdb_wiki,xgb_point,mondrian_dis,0.7130278587341309,8.769279807676517,6.639156723022461,0.9510453850076491,35.915924835205075,0.39906583150227865,0.3955655749939645,0.9913350939750671,5.053076995661388,5,0.0016264271601954955,0.024826101464330032,0.020987734872180783,0.0020157302780267434,0.3506120346195593,0.00389568927355061,0.0038080514343716877,0.01617155494130614,0.022362183633095715,0.028147125244140626,0.07779214968112169,-0.001278502529298231,0.0022893217672972353,-0.004223021667929139,0.004315833655536825,0.0006629270780214247,0.0013801497810019413
imdb_wiki,xgb_point,weighted_dis,0.7130278587341309,8.769279807676517,6.639156723022461,0.9503824579296276,35.887777709960936,0.39875308566623263,0.3968440775232628,0.9952755331993103,5.057300017329317,5,0.0016264271601954955,0.024826101464330032,0.020987734872180783,0.001162851019988921,0.3280984748232481,0.0036455386091472177,0.0022134092072762573,0.010222364653798742,0.021320323735971654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imdb_wiki,xgb_quantile,binned_weighted_dis,0.6784163355827332,9.28307172087128,6.937960243225097,0.9518103008669045,39.1165283203125,0.4346280924479166,0.42898620008831684,0.9872095227241516,6.303486801917069,5,0.001323995422285169,0.019105320239116017,0.021722620909688937,0.0023507252568313996,0.5924861917821356,0.0065831799086904,0.004219009371497069,0.018542964428034527,0.018344210200731088,0.0377960205078125,0.09735680962352408,-0.0001687819972150839,0.0014752293086205649,-0.00212080484689956,0.0012342960100113723,-0.00010198878123410804,0.0009471787670069597
imdb_wiki,xgb_quantile,difficulty_weighted,0.6784163355827332,9.28307172087128,6.937960243225097,0.9513003569607343,44.679186248779295,0.4964354027642144,0.49129958031959486,0.9898589611053467,6.680895921957801,5,0.001323995422285169,0.019105320239116017,0.021722620909688937,0.0024188763336321314,1.4162389546547376,0.01573598838505266,0.012161232847117849,0.01113585964998847,0.09987271740376599,5.600453948974609,0.9538296540650449,0.06214459823406289,0.01343781764064833,0.3752883151938324,0.08765921081721956,-0.0006119326874044039,0.001567611029978469
imdb_wiki,xgb_quantile,marginal,0.6784163355827332,9.28307172087128,6.937960243225097,0.9519122896481388,39.078732299804685,0.43420813666449654,0.42915498208553193,0.9885495662689209,6.305607606763969,5,0.001323995422285169,0.019105320239116017,0.021722620909688937,0.0029104799949262444,0.5851318256882958,0.006501464729869954,0.005580581993323457,0.020294567411230712,0.019166358001815573,,,,,,,,
imdb_wiki,xgb_quantile,mondrian_dis,0.6784163355827332,9.28307172087128,6.937960243225097,0.9533401325854156,39.462712097167966,0.4384745788574219,0.4309989721238102,0.9829997420310974,6.306562964419507,5,0.001323995422285169,0.019105320239116017,0.021722620909688937,0.0023088692346092264,0.4648650772234552,0.005165167524705068,0.004741881630243351,0.010169843250984446,0.017388432442073855,0.38397979736328125,0.28357173068447217,0.0018439900382782204,0.006324298671982137,0.0009553576555379806,0.004261862922369017,0.0014278429372768908,0.003020099463505543
imdb_wiki,xgb_quantile,weighted_dis,0.6784163355827332,9.28307172087128,6.937960243225097,0.9517593064762876,38.96624221801758,0.43295824686686196,0.4285099843470001,0.989829683303833,6.294322601488956,5,0.001323995422285169,0.019105320239116017,0.021722620909688937,0.0019367801137004398,0.5298450359125454,0.0058871670656949916,0.0029079054752584642,0.011017184241467264,0.01520552741160487,-0.11249008178710937,0.22294902069631373,-0.0006449977385318495,0.004551434312285933,-0.01128500527501366,0.0047334448153713874,-0.00015298317185112874,0.0012568850121230071
mercari,sourcewise_quantile,binned_weighted_dis,0.2825011134147644,0.6340099771880915,0.47514639496803285,0.9506399999999999,2.4739614963531493,0.33105025968976076,0.3296341949599494,0.9957763314247131,0.3843649028291334,5,0.006634167028340788,0.0029324076981884543,0.001377385320976611,0.0016040573555830182,0.023381233652696964,0.0031287323929666266,0.0015203213175661529,0.008173987667145595,0.0019730597807989607,0.0010286331176757812,0.008125348617447096,4.8673817434341515e-05,0.0010783948926861128,-8.541339833749717e-05,0.0001529822514475357,-0.00012000000000000899,0.0011945710527214248
mercari,sourcewise_quantile,difficulty_weighted,0.2825011134147644,0.6340099771880915,0.47514639496803285,0.95048,2.589518642425537,0.34651340383030754,0.345478730059651,0.9968763828277588,0.39391411422080796,5,0.006634167028340788,0.0029324076981884543,0.001377385320976611,0.001042592921518267,0.14375547850452078,0.01923647096403883,0.020371108888216874,0.004893098049923736,0.012040876234456228,0.11658577919006348,0.14893163617237307,0.01589320891713596,0.021288806980640198,0.009463797993337075,0.012577049443864365,-0.0002800000000000136,0.0012891857895586472
