seed,base,calibration,rmse,mae,r2,picp,mpiw,crps_uniform,niw,nciw,c_test_cal,q,q_bin0,q_bin1,q_bin2,a0,a1
3,xgb_point,marginal,0.45523759397249486,0.3286396563053131,0.7865539193153381,0.9567177637511272,1.9375385077984297,0.26289356826329097,0.26433696472144036,0.2509849766019807,0.9494887590408325,0.9687692523002625,,,,,
3,xgb_point,mondrian_dis,0.45523759397249486,0.3286396563053131,0.7865539193153381,0.9675383228133454,2.0814844436533715,0.26662504921370134,0.28397540417586137,0.2474464596290983,0.8713658154558298,,0.8771149516105652,0.8651993274688721,1.3735876083374023,,
3,xgb_point,weighted_dis,0.45523759397249486,0.3286396563053131,0.7865539193153381,0.9639314697926059,1.9310544974853372,0.2590639860091891,0.2634523692735411,0.23949143588408078,0.9090502262115479,0.46496984362602234,,,,3.0,10.0
3,xgb_quantile,marginal,0.5877852741529405,0.4250597655773163,0.6441644430160522,0.9558160504959423,2.344853451624983,0.32635949091672856,0.3199066389204693,0.3069943191284985,0.9596372246742249,0.335526704788208,,,,,
3,xgb_quantile,mondrian_dis,0.5877852741529405,0.4250597655773163,0.6441644430160522,0.9458972046889089,2.2194516407289124,0.3201308811958745,0.3027981682238938,0.30889801235629893,1.0201449175475024,,0.034912824630737305,0.14760231971740723,0.633718729019165,,
3,xgb_quantile,weighted_dis,0.5877852741529405,0.4250597655773163,0.6441644430160522,0.9422903516681695,2.105482695273202,0.31534026906467894,0.28724948470294404,0.29586117399137646,1.0299798250198364,0.8307824730873108,,,,0.01,0.5
3,aug_theta,marginal,0.45298575859862494,0.329141765832901,0.7886603474617004,0.9585211902614968,1.9158857284740245,0.2604938461577479,0.2613828865950945,0.24239684339015044,0.9273630976676941,0.9042811393737793,,,,,
3,aug_theta,mondrian_dis,0.45298575859862494,0.329141765832901,0.7886603474617004,0.9612263300270514,1.9651916400135059,0.261368529365794,0.2681096618124876,0.251871611801299,0.9394350434765562,,0.7933462262153625,0.7431713938713074,1.2428885698318481,,
3,aug_theta,weighted_dis,0.45298575859862494,0.329141765832901,0.7886603474617004,0.9594229035166817,1.8474635147263705,0.254967738321907,0.2520481122602057,0.24051567369021742,0.9542450904846191,2.1472694873809814,,,,0.1,0.5
4,xgb_point,marginal,0.447214481811329,0.325869619846344,0.7950234413146973,0.9558160504959423,1.825881365616113,0.25485439991260833,0.24849084572083005,0.2417583071781825,0.9729062914848328,0.9129406809806824,,,,,
4,xgb_point,mondrian_dis,0.447214481811329,0.325869619846344,0.7950234413146973,0.9567177637511272,1.805336528258672,0.25186750955789955,0.24569484050426735,0.2316678083010023,0.9429087229732795,,0.7818679213523865,0.768456757068634,1.1487555503845215,,
4,xgb_point,weighted_dis,0.447214481811329,0.325869619846344,0.7950234413146973,0.9504057709648331,1.7875671667543158,0.25275710983534916,0.24327655561225894,0.2365619075144371,0.972399115562439,0.503976583480835,,,,3.0,1.0
4,xgb_quantile,marginal,0.5885526408519872,0.4259665608406067,0.6449878811836243,0.9278629395852119,2.0403872297974295,0.31751423881601215,0.2776837708694255,0.3071904984765248,1.1062601804733276,0.17103314399719238,,,,,
4,xgb_quantile,mondrian_dis,0.5885526408519872,0.4259665608406067,0.6449878811836243,0.9341749323715058,2.0459548993395895,0.315638554833823,0.2784414732676033,0.2998854600700687,1.0770143418321023,,0.11261418461799622,0.09997826814651489,0.30433690547943115,,
4,xgb_quantile,weighted_dis,0.5885526408519872,0.4259665608406067,0.6449878811836243,0.9314697926059513,2.0045383058427904,0.3143624326346687,0.27280493670708644,0.2984026438071363,1.0938315391540527,0.11683813482522964,,,,0.5,10.0
4,aug_theta,marginal,0.4451057723867692,0.3280530273914337,0.7969518899917603,0.951307484220018,1.7923040533517265,0.25289681162907496,0.24392120145176807,0.241555718203689,0.9903022646903992,0.8531022667884827,,,,,
4,aug_theta,mondrian_dis,0.4451057723867692,0.3280530273914337,0.7969518899917603,0.9585211902614968,1.8202285783210954,0.25174360950158653,0.24772155397712767,0.23564356479351448,0.951243688771917,,0.7241086959838867,0.7680960893630981,1.098427414894104,,
4,aug_theta,weighted_dis,0.4451057723867692,0.3280530273914337,0.7969518899917603,0.951307484220018,1.7143191816948684,0.24754982864175806,0.23330794768256513,0.2309292579722462,0.9898045063018799,2.0010716915130615,,,,0.1,0.5
