dataset,seed,regime,method,picp,mpiw,niw,nciw,crps,c_test_cal,q_global,q_pooled_masked,q_regime
imdb_wiki,1,no_image,global_full_cal,0.7684854665986741,36.10734939575195,0.4011927710639106,0.8667871408710602,9.699643573095535,2.160525321960449,18.053672790527344,36.07859802246094,39.339237213134766
imdb_wiki,1,no_image,pooled_masked_cal,0.9367669556348802,72.1572036743164,0.8017467074924045,0.8667870878998656,10.142631120178768,1.0811233520507812,18.053672790527344,36.07859802246094,39.339237213134766
imdb_wiki,1,no_image,mask_matched_cal,0.9525752167261601,78.678466796875,0.8742051866319445,0.8667870177656166,10.38367898877174,0.9915143847465515,18.053672790527344,36.07859802246094,39.339237213134766
imdb_wiki,1,tab_only,global_full_cal,0.7636409994900561,36.10734939575195,0.4011927710639106,0.8787872343994726,9.832775855460856,2.190436363220215,18.053672790527344,36.07859802246094,39.841243743896484
imdb_wiki,1,tab_only,pooled_masked_cal,0.9344722080571137,72.1572036743164,0.8017467074924045,0.8787873760405597,10.246217051632366,1.0960910320281982,18.053672790527344,36.07859802246094,39.841243743896484
imdb_wiki,1,tab_only,mask_matched_cal,0.9525752167261601,79.6824951171875,0.8853610568576389,0.8787872419759677,10.520473569047294,0.9925749897956848,18.053672790527344,36.07859802246094,39.841243743896484
imdb_wiki,2,full,global_full_cal,0.9500254971953085,35.6087646484375,0.39565294053819444,0.3942952578666639,5.039742299118402,0.996568500995636,17.80438232421875,37.11767578125,17.80438232421875
imdb_wiki,2,full,pooled_masked_cal,0.9500254971953085,35.6087646484375,0.39565294053819444,0.3942952578666639,5.039742299118402,0.996568500995636,17.80438232421875,37.11767578125,17.80438232421875
imdb_wiki,2,full,mask_matched_cal,0.9500254971953085,35.6087646484375,0.39565294053819444,0.3942952578666639,5.039742299118402,0.996568500995636,17.80438232421875,37.11767578125,17.80438232421875
imdb_wiki,2,no_text,global_full_cal,0.9487506374298827,35.6087646484375,0.39565294053819444,0.3991492251632735,5.0511458866614305,1.0088367462158203,17.80438232421875,37.11767578125,17.97478485107422
imdb_wiki,2,no_text,pooled_masked_cal,0.9977052524222335,74.23534393310547,0.824837154812283,0.39914915532190465,7.226184035568314,0.4839126765727997,17.80438232421875,37.11767578125,17.97478485107422
imdb_wiki,2,no_text,mask_matched_cal,0.9500254971953085,35.949581146240234,0.39943979051378037,0.3991491843677421,5.0623739225814814,0.9992724657058716,17.80438232421875,37.11767578125,17.97478485107422
imdb_wiki,2,no_image,global_full_cal,0.7473227944926059,35.6087646484375,0.39565294053819444,0.8980635888295688,10.004688073388714,2.269826650619507,17.80438232421875,37.11767578125,40.97980880737305
imdb_wiki,2,no_image,pooled_masked_cal,0.9347271800101988,74.23534393310547,0.824837154812283,0.8980633834350253,10.454786013219904,1.0887765884399414,17.80438232421875,37.11767578125,40.97980880737305
imdb_wiki,2,no_image,mask_matched_cal,0.9533401325854156,81.95960235595703,0.9106622483995226,0.8980632244337611,10.741576207131024,0.9861649870872498,17.80438232421875,37.11767578125,40.97980880737305
imdb_wiki,2,tab_only,global_full_cal,0.7452830188679245,35.6087646484375,0.39565294053819444,0.9017840982699353,10.111406799106327,2.2792301177978516,17.80438232421875,37.11767578125,41.38392639160156
imdb_wiki,2,tab_only,pooled_masked_cal,0.9331973482916879,74.23534393310547,0.824837154812283,0.9017840261329487,10.536831946575116,1.0932873487472534,17.80438232421875,37.11767578125,41.38392639160156
imdb_wiki,2,tab_only,mask_matched_cal,0.9543600203977562,82.76782989501953,0.9196425543891059,0.9017838378881101,10.850175733436705,0.9805808067321777,17.80438232421875,37.11767578125,41.38392639160156
imdb_wiki,3,full,global_full_cal,0.9495155532891382,35.7158088684082,0.3968423207600911,0.3994525951623018,5.05299278178685,1.0065776109695435,17.85790252685547,35.895668029785156,17.85790252685547
imdb_wiki,3,full,pooled_masked_cal,0.9495155532891382,35.7158088684082,0.3968423207600911,0.3994525951623018,5.05299278178685,1.0065776109695435,17.85790252685547,35.895668029785156,17.85790252685547
imdb_wiki,3,full,mask_matched_cal,0.9495155532891382,35.7158088684082,0.3968423207600911,0.3994525951623018,5.05299278178685,1.0065776109695435,17.85790252685547,35.895668029785156,17.85790252685547
imdb_wiki,3,no_text,global_full_cal,0.9477307496175421,35.7158088684082,0.3968423207600911,0.4040351578386586,5.067983648439696,1.0181251764297485,17.85790252685547,35.895668029785156,18.10373306274414
imdb_wiki,3,no_text,pooled_masked_cal,0.9977052524222335,71.79132843017578,0.7976814270019531,0.40403506135344286,7.064713708657965,0.5065118074417114,17.85790252685547,35.895668029785156,18.10373306274414
imdb_wiki,3,no_text,mask_matched_cal,0.9492605813360531,36.207462310791016,0.4023051367865668,0.40403504818414654,5.084194585131878,1.0042999982833862,17.85790252685547,35.895668029785156,18.10373306274414
imdb_wiki,3,no_image,global_full_cal,0.7644059153493116,35.7158088684082,0.3968423207600911,0.8707800092567292,9.739439034640238,2.194272041320801,17.85790252685547,35.895668029785156,39.87227249145508
imdb_wiki,3,no_image,pooled_masked_cal,0.9339622641509434,71.79132843017578,0.7976814270019531,0.8707798083501984,10.157833858621458,1.0916385650634766,17.85790252685547,35.895668029785156,39.87227249145508
imdb_wiki,3,no_image,mask_matched_cal,0.9533401325854156,79.74454498291016,0.8860504998101129,0.8707798587294595,10.452051219147641,0.9827654957771301,17.85790252685547,35.895668029785156,39.87227249145508
imdb_wiki,3,tab_only,global_full_cal,0.760326364099949,35.7158088684082,0.3968423207600911,0.8821386790841643,9.840192521325655,2.2228946685791016,17.85790252685547,35.895668029785156,40.31780242919922
imdb_wiki,3,tab_only,pooled_masked_cal,0.9339622641509434,71.79132843017578,0.7976814270019531,0.8821384326243787,10.235648592789907,1.1058781147003174,17.85790252685547,35.895668029785156,40.31780242919922
imdb_wiki,3,tab_only,mask_matched_cal,0.9538500764915859,80.63561248779297,0.8959512498643664,0.8821386545669005,10.560084837407375,0.98458331823349,17.85790252685547,35.895668029785156,40.31780242919922
imdb_wiki,4,full,global_full_cal,0.9495155532891382,35.651214599609375,0.3961246066623264,0.3961582757579082,5.035382058489441,1.0000849962234497,17.825607299804688,38.56309127807617,17.825607299804688
imdb_wiki,4,full,pooled_masked_cal,0.9495155532891382,35.651214599609375,0.3961246066623264,0.3961582757579082,5.035382058489441,1.0000849962234497,17.825607299804688,38.56309127807617,17.825607299804688
imdb_wiki,4,full,mask_matched_cal,0.9495155532891382,35.651214599609375,0.3961246066623264,0.3961582757579082,5.035382058489441,1.0000849962234497,17.825607299804688,38.56309127807617,17.825607299804688
imdb_wiki,4,no_text,global_full_cal,0.9497705252422234,35.651214599609375,0.3961246066623264,0.3963062686689227,5.061083066780216,1.0004585981369019,17.825607299804688,38.56309127807617,17.96401596069336
imdb_wiki,4,no_text,pooled_masked_cal,0.9979602243753187,77.12618255615234,0.8569575839572483,0.3963062642943366,7.431860042271547,0.4624572694301605,17.825607299804688,38.56309127807617,17.96401596069336
imdb_wiki,4,no_text,mask_matched_cal,0.9505354411014788,35.928035736083984,0.3992003970675998,0.3963063087817166,5.070117187242138,0.9927502870559692,17.825607299804688,38.56309127807617,17.96401596069336
imdb_wiki,4,no_image,global_full_cal,0.7172361040285569,35.651214599609375,0.3961246066623264,0.9488639627816965,10.695529451181113,2.395367383956909,17.825607299804688,38.56309127807617,43.180267333984375
imdb_wiki,4,no_image,pooled_masked_cal,0.9316675165731769,77.12618255615234,0.8569575839572483,0.9488640161272391,11.060036633355994,1.1072473526000977,17.825607299804688,38.56309127807617,43.180267333984375
imdb_wiki,4,no_image,mask_matched_cal,0.9525752167261601,86.36054992675781,0.9595616658528646,0.9488642095349558,11.388447483296646,0.9888517260551453,17.825607299804688,38.56309127807617,43.180267333984375
imdb_wiki,4,tab_only,global_full_cal,0.725395206527282,35.651214599609375,0.3961246066623264,0.9437822432137586,10.577361913104388,2.3825387954711914,17.825607299804688,38.56309127807617,43.19529724121094
imdb_wiki,4,tab_only,pooled_masked_cal,0.9331973482916879,77.12618255615234,0.8569575839572483,0.943782507473932,10.97837722621639,1.1013176441192627,17.825607299804688,38.56309127807617,43.19529724121094
imdb_wiki,4,tab_only,mask_matched_cal,0.9535951045385007,86.39060974121094,0.9598956637912326,0.9437825317911321,11.314942260169667,0.9832136631011963,17.825607299804688,38.56309127807617,43.19529724121094
mercari,0,full,global_full_cal,0.9502,2.3379430770874023,0.3128491142447353,0.3126698208367311,0.3415641122071658,0.9994269013404846,1.1689715385437012,1.3078968524932861,1.1689715385437012
mercari,0,full,pooled_masked_cal,0.9502,2.3379430770874023,0.3128491142447353,0.3126698208367311,0.3415641122071658,0.9994269013404846,1.1689715385437012,1.3078968524932861,1.1689715385437012
mercari,0,full,mask_matched_cal,0.9502,2.3379430770874023,0.3128491142447353,0.3126698208367311,0.3415641122071658,0.9994269013404846,1.1689715385437012,1.3078968524932861,1.1689715385437012
mercari,0,no_text,global_full_cal,0.9283,2.3379430770874023,0.3128491142447353,0.3504827166721522,0.3825147345313579,1.120293140411377,1.1689715385437012,1.3078968524932861,1.3078968524932861
mercari,0,no_text,pooled_masked_cal,0.9497,2.615793466567993,0.35002933864517227,0.3504827414974355,0.3883746505112146,1.0012953281402588,1.1689715385437012,1.3078968524932861,1.3078968524932861
mercari,0,no_text,mask_matched_cal,0.9497,2.615793466567993,0.35002933864517227,0.3504827414974355,0.3883746505112146,1.0012953281402588,1.1689715385437012,1.3078968524932861,1.3078968524932861
mercari,0,tab_only,global_full_cal,0.9283,2.3379430770874023,0.3128491142447353,0.3504827166721522,0.3825147345313579,1.120293140411377,1.1689715385437012,1.3078968524932861,1.3078968524932861
mercari,0,tab_only,pooled_masked_cal,0.9497,2.615793466567993,0.35002933864517227,0.3504827414974355,0.3883746505112146,1.0012953281402588,1.1689715385437012,1.3078968524932861,1.3078968524932861
mercari,0,tab_only,mask_matched_cal,0.9497,2.615793466567993,0.35002933864517227,0.3504827414974355,0.3883746505112146,1.0012953281402588,1.1689715385437012,1.3078968524932861,1.3078968524932861
mercari,1,full,global_full_cal,0.9508,2.340830087661743,0.3132354361829593,0.312082938042616,0.3395291997582323,0.9963206648826599,1.170414924621582,1.2686772346496582,1.170414924621582
